,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
939,Idealna,Magda Stachula,Znak Literanova,Kryminał,polski,"0,0",,,"34,90",
940,Noc z czwartku na niedzielę,Gaja Grzegorzewska,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Kryminał,Julia Dobrowolska,"3,8","28,00",,"34,90",
941,Stalker,Lars Kepler,Wydawnictwo Czarne,Kryminał,Joona Linna,"4,5","38,00",,"44,90",
942,Człowiek z gór,Kjell Eriksson,Amber,Kryminał,Komisarz Ann Lindell,"3,5","28,00",,"39,80",
943,Liść akacji,Walery Przyborowski,LTW,Kryminał,polski,"0,0",,,"22,00",
944,Pan Mercedes,Stephen King,Wydawnictwo Albatros,Kryminał,Bill Hodges,"4,4","32,30","34,50","38,50",17
945,Mężczyzna na dnie,Iva Prochazkova,Wydawnictwo Afera,Kryminał,Marián Holina,"3,8","32,00",,"37,99",
946,Sztokholm delete,Jens Lapidus,Marginesy,Kryminał,Teddy i Emelie,"4,1","31,90",,"39,90",
947,Dobra matka,Małgorzata Rogala,Czwarta Strona,Kryminał,Agata Górska i Sławek Tomczyk,"4,5","29,90","39,90","36,90",43
948,Siła wyższa,Joanna Szwechłowicz,Prószyński i S-ka,Kryminał,polski,"0,0","25,60",,"32,00",
